Gene	Synonym	ENSG	Description	expression
NUTM2E	FAM22E	ENSG00000228570	NUT family member 2E	LowTissSpecExpdInBrain
NVL	NVL2	ENSG00000143748	Nuclear VCP-like	LowTissSpecExpdInBrain
NXF1	"DKFZp667O0311, Mex67, TAP"	ENSG00000162231	Nuclear RNA export factor 1	LowTissSpecExpdInBrain
NXN	"FLJ12614, NRX"	ENSG00000167693	Nucleoredoxin	LowTissSpecExpdInBrain
NXPH3	NPH3	ENSG00000182575	Neurexophilin 3	LowTissSpecExpdInBrain
NXT1	"MTR2, P15"	ENSG00000132661	Nuclear transport factor 2 like export factor 1	LowTissSpecExpdInBrain
OARD1	"C6orf130, dJ34B21.3, MGC19570, TARG1"	ENSG00000124596	O-acyl-ADP-ribose deacylase 1	LowTissSpecExpdInBrain
OAS2		ENSG00000111335	2'-5'-oligoadenylate synthetase 2	LowTissSpecExpdInBrain
OAS3		ENSG00000111331	2'-5'-oligoadenylate synthetase 3	LowTissSpecExpdInBrain
OAZ1	"AZI, MGC138338, OAZ"	ENSG00000104904	Ornithine decarboxylase antizyme 1	LowTissSpecExpdInBrain
OAZ2		ENSG00000180304	Ornithine decarboxylase antizyme 2	LowTissSpecExpdInBrain
OCEL1	FLJ22709	ENSG00000099330	Occludin/ELL domain containing 1	LowTissSpecExpdInBrain
OCIAD1	"Asrij, FLJ20455, OCIA, TPA018"	ENSG00000109180	OCIA domain containing 1	LowTissSpecExpdInBrain
OCIAD2	MGC45416	ENSG00000145247	OCIA domain containing 2	LowTissSpecExpdInBrain
OCLM		ENSG00000262180	Oculomedin	LowTissSpecExpdInBrain
OCRL	OCRL1	ENSG00000122126	"OCRL, inositol polyphosphate-5-phosphatase"	LowTissSpecExpdInBrain
ODC1	ODC	ENSG00000115758	Ornithine decarboxylase 1	LowTissSpecExpdInBrain
ODF2L	KIAA1229	ENSG00000122417	Outer dense fiber of sperm tails 2 like	LowTissSpecExpdInBrain
ODF3B		ENSG00000177989	Outer dense fiber of sperm tails 3B	LowTissSpecExpdInBrain
ODR4	"C1orf27, FLJ20505, odr-4, TTG1"	ENSG00000157181	Odr-4 GPCR localization factor homolog	LowTissSpecExpdInBrain
OFD1	"71-7A, CXorf5, JBTS10, RP23"	ENSG00000046651	"OFD1, centriole and centriolar satellite protein"	LowTissSpecExpdInBrain
OGFOD2	"FLJ13491, FLJ37501"	ENSG00000111325	2-oxoglutarate and iron dependent oxygenase domain containing 2	LowTissSpecExpdInBrain
OGFOD3	"C17orf101, FLJ22222"	ENSG00000181396	2-oxoglutarate and iron dependent oxygenase domain containing 3	LowTissSpecExpdInBrain
OGFR	7-60	ENSG00000060491	Opioid growth factor receptor	LowTissSpecExpdInBrain
OGG1	"HMMH, HOGG1, MUTM, OGH1"	ENSG00000114026	8-oxoguanine DNA glycosylase	LowTissSpecExpdInBrain
OGT	"FLJ23071, HRNT1, MGC22921, O-GLCNAC, OGT1"	ENSG00000147162	O-linked N-acetylglucosamine (GlcNAc) transferase	LowTissSpecExpdInBrain
OLA1	"GTPBP9, PTD004"	ENSG00000138430	Obg like ATPase 1	LowTissSpecExpdInBrain
OLFML1	UNQ564	ENSG00000183801	Olfactomedin like 1	LowTissSpecExpdInBrain
OLFML2A	FLJ00237	ENSG00000185585	Olfactomedin like 2A	LowTissSpecExpdInBrain
OLFML2B	DKFZP586L151	ENSG00000162745	Olfactomedin like 2B	LowTissSpecExpdInBrain
OLFML3	"HNOEL-iso, OLF44"	ENSG00000116774	Olfactomedin like 3	LowTissSpecExpdInBrain
OMA1	"FLJ33782, MPRP-1, YKR087C, ZMPOMA1"	ENSG00000162600	OMA1 zinc metallopeptidase	LowTissSpecExpdInBrain
OMD	"osteoadherin, SLRR2C"	ENSG00000127083	Osteomodulin	LowTissSpecExpdInBrain
OPA1	"FLJ12460, KIAA0567, MGM1, NPG, NTG"	ENSG00000198836	"OPA1, mitochondrial dynamin like GTPase"	LowTissSpecExpdInBrain
OPA3	"FLJ22187, MGA3"	ENSG00000125741	"OPA3, outer mitochondrial membrane lipid metabolism regulator"	LowTissSpecExpdInBrain
OPHN1	"ARHGAP41, MRX60, OPN1"	ENSG00000079482	Oligophrenin 1	LowTissSpecExpdInBrain
OPN3	"ECPN, encephalopsin, ERO, NMO-1, PPP1R116"	ENSG00000054277	Opsin 3	LowTissSpecExpdInBrain
OR10AD1	OR10AD1P	ENSG00000172640	Olfactory receptor family 10 subfamily AD member 1	LowTissSpecExpdInBrain
OR1D2	"OLFR1, OR17-4"	ENSG00000184166	Olfactory receptor family 1 subfamily D member 2	LowTissSpecExpdInBrain
OR2M3	"OR2M3P, OR2M6, OST003"	ENSG00000228198	Olfactory receptor family 2 subfamily M member 3	LowTissSpecExpdInBrain
OR52I1		ENSG00000232268	Olfactory receptor family 52 subfamily I member 1	LowTissSpecExpdInBrain
ORAI2	"C7orf19, CBCIP2, FLJ12474, FLJ14733, H_NH0514P08.8, TMEM142B"	ENSG00000160991	ORAI calcium release-activated calcium modulator 2	LowTissSpecExpdInBrain
ORAI3	"MGC13024, TMEM142C"	ENSG00000175938	ORAI calcium release-activated calcium modulator 3	LowTissSpecExpdInBrain
ORAOV1	TAOS1	ENSG00000149716	Oral cancer overexpressed 1	LowTissSpecExpdInBrain
ORC2	ORC2L	ENSG00000115942	Origin recognition complex subunit 2	LowTissSpecExpdInBrain
ORC3	"IMAGE50150, LATHEO, ORC3L"	ENSG00000135336	Origin recognition complex subunit 3	LowTissSpecExpdInBrain
ORC4	"HsORC4, ORC4L, Orc4p"	ENSG00000115947	Origin recognition complex subunit 4	LowTissSpecExpdInBrain
ORC5	"ORC5L, Orc5p, ORC5T, PPP1R117"	ENSG00000164815	Origin recognition complex subunit 5	LowTissSpecExpdInBrain
ORMDL1		ENSG00000128699	ORMDL sphingolipid biosynthesis regulator 1	LowTissSpecExpdInBrain
ORMDL2	"adoplin-2, HSPC160, MST095, MSTP095"	ENSG00000123353	ORMDL sphingolipid biosynthesis regulator 2	LowTissSpecExpdInBrain
ORMDL3		ENSG00000172057	ORMDL sphingolipid biosynthesis regulator 3	LowTissSpecExpdInBrain
OS9	"ERLEC2, OS-9"	ENSG00000135506	"OS9, endoplasmic reticulum lectin"	LowTissSpecExpdInBrain
OSBP	OSBP1	ENSG00000110048	Oxysterol binding protein	LowTissSpecExpdInBrain
OSBPL2	"DFNA67, KIAA0772, ORP-2"	ENSG00000130703	Oxysterol binding protein like 2	LowTissSpecExpdInBrain
OSBPL3	"KIAA0704, ORP-3, ORP3, OSBP3"	ENSG00000070882	Oxysterol binding protein like 3	LowTissSpecExpdInBrain
OSBPL5	"KIAA1534, ORP5"	ENSG00000021762	Oxysterol binding protein like 5	LowTissSpecExpdInBrain
OSBPL8	"MST120, MSTP120, ORP8, OSBP10"	ENSG00000091039	Oxysterol binding protein like 8	LowTissSpecExpdInBrain
OSBPL9		ENSG00000117859	Oxysterol binding protein like 9	LowTissSpecExpdInBrain
OSER1	"C20orf111, dJ1183I21.1, HSPC207, Osr1, Perit1"	ENSG00000132823	Oxidative stress responsive serine rich 1	LowTissSpecExpdInBrain
OSGEP	"GCPL1, KAE1, OSGEP1, PRSMG1, TCS3"	ENSG00000092094	O-sialoglycoprotein endopeptidase	LowTissSpecExpdInBrain
OSGEPL1	"OSGEPL, Qri7"	ENSG00000128694	O-sialoglycoprotein endopeptidase like 1	LowTissSpecExpdInBrain
OSGIN2	"C8orf1, hT41"	ENSG00000164823	Oxidative stress induced growth inhibitor family member 2	LowTissSpecExpdInBrain
OSMR	OSMRB	ENSG00000145623	Oncostatin M receptor	LowTissSpecExpdInBrain
OST4		ENSG00000228474	"Oligosaccharyltransferase complex subunit 4, non-catalytic"	LowTissSpecExpdInBrain
OSTC	DC2	ENSG00000198856	Oligosaccharyltransferase complex non-catalytic subunit	LowTissSpecExpdInBrain
OSTF1	"bA235O14.1, OSF, SH3P2"	ENSG00000134996	Osteoclast stimulating factor 1	LowTissSpecExpdInBrain
OSTM1	"GL, HSPC019"	ENSG00000081087	Osteopetrosis associated transmembrane protein 1	LowTissSpecExpdInBrain
OTUB1	"FLJ20113, FLJ40710"	ENSG00000167770	"OTU deubiquitinase, ubiquitin aldehyde binding 1"	LowTissSpecExpdInBrain
OTUD3	"DUBA4, KIAA0459"	ENSG00000169914	OTU deubiquitinase 3	LowTissSpecExpdInBrain
OTUD4	"DUBA6, HSHIN1, KIAA1046"	ENSG00000164164	OTU deubiquitinase 4	LowTissSpecExpdInBrain
OTUD5	"DKFZp761A052, DUBA"	ENSG00000068308	OTU deubiquitinase 5	LowTissSpecExpdInBrain
OTUD6B	"CGI-77, DUBA5"	ENSG00000155100	OTU domain containing 6B	LowTissSpecExpdInBrain
OTUD7B	"CEZANNE, ZA20D1"	ENSG00000264522	OTU deubiquitinase 7B	LowTissSpecExpdInBrain
OTULIN	"FAM105B, FLJ34884"	ENSG00000154124	OTU deubiquitinase with linear linkage specificity	LowTissSpecExpdInBrain
OVCA2		ENSG00000262664	"OVCA2, serine hydrolase domain containing"	LowTissSpecExpdInBrain
OXA1L	"MGC133129, OXA1"	ENSG00000155463	"OXA1L, mitochondrial inner membrane protein"	LowTissSpecExpdInBrain
OXLD1	"C17orf90, MGC104712"	ENSG00000204237	Oxidoreductase like domain containing 1	LowTissSpecExpdInBrain
OXNAD1	MGC15763	ENSG00000154814	Oxidoreductase NAD binding domain containing 1	LowTissSpecExpdInBrain
OXR1	TLDC3	ENSG00000164830	Oxidation resistance 1	LowTissSpecExpdInBrain
OXSM	"CEM1, FASN2D, FLJ20604, KS"	ENSG00000151093	"3-oxoacyl-ACP synthase, mitochondrial"	LowTissSpecExpdInBrain
OXSR1	"KIAA1101, OSR1"	ENSG00000172939	Oxidative stress responsive 1	LowTissSpecExpdInBrain
P2RX4	P2X4	ENSG00000135124	Purinergic receptor P2X 4	LowTissSpecExpdInBrain
P2RY11	P2Y11	ENSG00000244165	Purinergic receptor P2Y11	LowTissSpecExpdInBrain
P3H1	"GROS1, LEPRE1, LEPRECAN, MGC117314"	ENSG00000117385	Prolyl 3-hydroxylase 1	LowTissSpecExpdInBrain
P3H3	"GRCB, HSU47926, LEPREL2"	ENSG00000110811	Prolyl 3-hydroxylase 3	LowTissSpecExpdInBrain
P3H4	"LEPREL4, NO55, SC65"	ENSG00000141696	Prolyl 3-hydroxylase family member 4 (non-enzymatic)	LowTissSpecExpdInBrain
P4HA2	C-P4Halpha(II)	ENSG00000072682	Prolyl 4-hydroxylase subunit alpha 2	LowTissSpecExpdInBrain
P4HTM	"EGLN4, FLJ20262, HIFPH4, P4H-TM, PH-4, PH4, PHD4"	ENSG00000178467	"Prolyl 4-hydroxylase, transmembrane"	LowTissSpecExpdInBrain
PA2G4		ENSG00000170515	Proliferation-associated 2G4	LowTissSpecExpdInBrain
PAAF1	"FLJ11848, Rpn14, WDR71"	ENSG00000175575	Proteasomal ATPase associated factor 1	LowTissSpecExpdInBrain
PABPC1	"PAB1, PABP1, PABPC2, PABPL1"	ENSG00000070756	Poly(A) binding protein cytoplasmic 1	LowTissSpecExpdInBrain
PABPC1L	"C20orf119, dJ1069P2.3, ePAB, PABPC1L1"	ENSG00000101104	Poly(A) binding protein cytoplasmic 1 like	LowTissSpecExpdInBrain
PABPN1	"OPMD, PAB2, PABP2"	ENSG00000100836	Poly(A) binding protein nuclear 1	LowTissSpecExpdInBrain
PACRGL	"C4orf28, MGC29898"	ENSG00000163138	Parkin coregulated like	LowTissSpecExpdInBrain
PACS1	"FLJ10209, KIAA1175"	ENSG00000175115	Phosphofurin acidic cluster sorting protein 1	LowTissSpecExpdInBrain
PACSIN2	SDPII	ENSG00000100266	Protein kinase C and casein kinase substrate in neurons 2	LowTissSpecExpdInBrain
PAF1	"F23149_1, FLJ11123, PD2"	ENSG00000006712	"PAF1 homolog, Paf1/RNA polymerase II complex component"	LowTissSpecExpdInBrain
PAFAH1B1	"LIS1, MDCR, MDS, NudF, PAFAH"	ENSG00000007168	Platelet activating factor acetylhydrolase 1b regulatory subunit 1	LowTissSpecExpdInBrain
PAFAH1B2		ENSG00000168092	Platelet activating factor acetylhydrolase 1b catalytic subunit 2	LowTissSpecExpdInBrain
PAFAH1B3		ENSG00000079462	Platelet activating factor acetylhydrolase 1b catalytic subunit 3	LowTissSpecExpdInBrain
PAFAH2	HSD-PLA2	ENSG00000158006	Platelet activating factor acetylhydrolase 2	LowTissSpecExpdInBrain
PAG1	"CBP, PAG"	ENSG00000076641	Phosphoprotein membrane anchor with glycosphingolipid microdomains 1	LowTissSpecExpdInBrain
PAICS	"ADE2H1, AIRC, PAIS"	ENSG00000128050	Phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	LowTissSpecExpdInBrain
PAIP1		ENSG00000172239	Poly(A) binding protein interacting protein 1	LowTissSpecExpdInBrain
PAIP2	PAIP2A	ENSG00000120727	Poly(A) binding protein interacting protein 2	LowTissSpecExpdInBrain
PAK2	"PAK65, PAKgamma"	ENSG00000180370	P21 (RAC1) activated kinase 2	LowTissSpecExpdInBrain
PAK4		ENSG00000130669	P21 (RAC1) activated kinase 4	LowTissSpecExpdInBrain
PALB2	"FANCN, FLJ21816"	ENSG00000083093	Partner and localizer of BRCA2	LowTissSpecExpdInBrain
PALD1	"KIAA1274, PALD"	ENSG00000107719	"Phosphatase domain containing, paladin 1"	LowTissSpecExpdInBrain
PAMR1	"DKFZP586H2123, RAMP"	ENSG00000149090	Peptidase domain containing associated with muscle regeneration 1	LowTissSpecExpdInBrain
PAN2	"hPAN2, KIAA0710, USP52"	ENSG00000135473	PAN2 poly(A) specific ribonuclease subunit	LowTissSpecExpdInBrain
PAN3		ENSG00000152520	PAN3 poly(A) specific ribonuclease subunit	LowTissSpecExpdInBrain
PANK2	"C20orf48, FLJ11729, HARP, HSS, NBIA1, PKAN"	ENSG00000125779	Pantothenate kinase 2	LowTissSpecExpdInBrain
PANX1	"MRS1, PX1, UNQ2529"	ENSG00000110218	Pannexin 1	LowTissSpecExpdInBrain
PAPD4	"FLJ38499, GLD2, TUT2"	ENSG00000164329	"Poly(A) RNA polymerase D4, non-canonical"	LowTissSpecExpdInBrain
PAPD5	TRF4-2	ENSG00000121274	"Poly(A) RNA polymerase D5, non-canonical"	LowTissSpecExpdInBrain
PAPD7	"LAK-1, POLK, POLS, TRF4, TRF4-1"	ENSG00000112941	"Poly(A) RNA polymerase D7, non-canonical"	LowTissSpecExpdInBrain
PAPLN	MGC50452	ENSG00000100767	"Papilin, proteoglycan like sulfated glycoprotein"	LowTissSpecExpdInBrain
PAPOLA	PAP	ENSG00000090060	Poly(A) polymerase alpha	LowTissSpecExpdInBrain
PAPOLG	FLJ12972	ENSG00000115421	Poly(A) polymerase gamma	LowTissSpecExpdInBrain
PAPSS1	"ATPSK1, PAPSS"	ENSG00000138801	3'-phosphoadenosine 5'-phosphosulfate synthase 1	LowTissSpecExpdInBrain
PAQR7	"MPRA, mSR"	ENSG00000182749	Progestin and adipoQ receptor family member 7	LowTissSpecExpdInBrain
PARD3	"ASIP, Baz, Bazooka, PAR3, PARD3A, PPP1R118"	ENSG00000148498	Par-3 family cell polarity regulator	LowTissSpecExpdInBrain
PARD3B	"ALS2CR19, PAR3beta, Par3L"	ENSG00000116117	Par-3 family cell polarity regulator beta	LowTissSpecExpdInBrain
PARG		ENSG00000227345	Poly(ADP-ribose) glycohydrolase	LowTissSpecExpdInBrain
PARK7	"DJ-1, DJ1, GATD2"	ENSG00000116288	Parkinsonism associated deglycase	LowTissSpecExpdInBrain
PARL	"PRO2207, PSARL, PSARL1, RHBDS1"	ENSG00000175193	Presenilin associated rhomboid like	LowTissSpecExpdInBrain
PARM1	"Cipar1, DKFZP564O0823, WSC4"	ENSG00000169116	Prostate androgen-regulated mucin-like protein 1	LowTissSpecExpdInBrain
PARN	DAN	ENSG00000140694	Poly(A)-specific ribonuclease	LowTissSpecExpdInBrain
PARP1	"ADPRT, PARP, PPOL"	ENSG00000143799	Poly(ADP-ribose) polymerase 1	LowTissSpecExpdInBrain
PARP10	FLJ14464	ENSG00000178685	Poly(ADP-ribose) polymerase family member 10	LowTissSpecExpdInBrain
PARP11	C12orf6	ENSG00000111224	Poly(ADP-ribose) polymerase family member 11	LowTissSpecExpdInBrain
PARP12	"FLJ22693, PARP-12, ZC3H1, ZC3HDC1"	ENSG00000059378	Poly(ADP-ribose) polymerase family member 12	LowTissSpecExpdInBrain
PARP14	"KIAA1268, pART8"	ENSG00000173193	Poly(ADP-ribose) polymerase family member 14	LowTissSpecExpdInBrain
PARP16	"C15orf30, FLJ20509, FLJ25281, pART15"	ENSG00000138617	Poly(ADP-ribose) polymerase family member 16	LowTissSpecExpdInBrain
PARP2	ADPRTL2	ENSG00000129484	Poly(ADP-ribose) polymerase 2	LowTissSpecExpdInBrain
PARP3	"ADPRT3, ADPRTL3, hPARP-3, IRT1, pADPRT-3"	ENSG00000041880	Poly(ADP-ribose) polymerase family member 3	LowTissSpecExpdInBrain
PARP4	"ADPRTL1, p193, VAULT3, VPARP, VWA5C"	ENSG00000102699	Poly(ADP-ribose) polymerase family member 4	LowTissSpecExpdInBrain
PARP6	pART17	ENSG00000137817	Poly(ADP-ribose) polymerase family member 6	LowTissSpecExpdInBrain
PARP8	"FLJ21308, pART16"	ENSG00000151883	Poly(ADP-ribose) polymerase family member 8	LowTissSpecExpdInBrain
PARP9	"BAL, BAL1"	ENSG00000138496	Poly(ADP-ribose) polymerase family member 9	LowTissSpecExpdInBrain
PARS2	DKFZp727A071	ENSG00000162396	"Prolyl-tRNA synthetase 2, mitochondrial"	LowTissSpecExpdInBrain
PARVA	"FLJ10793, FLJ12254, MXRA2"	ENSG00000197702	Parvin alpha	LowTissSpecExpdInBrain
PATL1	"FLJ36874, Pat1b"	ENSG00000166889	"PAT1 homolog 1, processing body mRNA decay factor"	LowTissSpecExpdInBrain
PATZ1	"dJ400N23, MAZR, PATZ, RIAZ, ZBTB19, ZNF278, ZSG"	ENSG00000100105	POZ/BTB and AT hook containing zinc finger 1	LowTissSpecExpdInBrain
PAWR	"par-4, PAR4"	ENSG00000177425	Pro-apoptotic WT1 regulator	LowTissSpecExpdInBrain
PAXBP1	"C21orf66, fSAP105, GCFC, GCFC1"	ENSG00000159086	PAX3 and PAX7 binding protein 1	LowTissSpecExpdInBrain
PAXIP1	"CAGF28, CAGF29, PAXIP1L, PTIP, TNRC2"	ENSG00000157212	PAX interacting protein 1	LowTissSpecExpdInBrain
PAXX	"C9orf142, XLS"	ENSG00000148362	"PAXX, non-homologous end joining factor"	LowTissSpecExpdInBrain
PBDC1	"CXorf26, MGC874"	ENSG00000102390	Polysaccharide biosynthesis domain containing 1	LowTissSpecExpdInBrain
PBRM1	"BAF180, PB1"	ENSG00000163939	Polybromo 1	LowTissSpecExpdInBrain
PBX1		ENSG00000185630	PBX homeobox 1	LowTissSpecExpdInBrain
PBX2	"G17, HOX12, PBX2MHC"	ENSG00000204304	PBX homeobox 2	LowTissSpecExpdInBrain
PBXIP1	HPIP	ENSG00000163346	PBX homeobox interacting protein 1	LowTissSpecExpdInBrain
PCBP1	"hnRNP-E1, hnRNP-X, HNRPE1, HNRPX"	ENSG00000169564	Poly(rC) binding protein 1	LowTissSpecExpdInBrain
PCBP2	"hnRNP-E2, HNRNPE2, HNRPE2"	ENSG00000197111	Poly(rC) binding protein 2	LowTissSpecExpdInBrain
PCDH1	pc42	ENSG00000156453	Protocadherin 1	LowTissSpecExpdInBrain
PCDH18	"KIAA1562, PCDH68L"	ENSG00000189184	Protocadherin 18	LowTissSpecExpdInBrain
PCDH7	"BH-Pcdh, PPP1R120"	ENSG00000169851	Protocadherin 7	LowTissSpecExpdInBrain
PCDHB10		ENSG00000120324	Protocadherin beta 10	LowTissSpecExpdInBrain
PCDHB11	"ME2, PCDH-BETA11"	ENSG00000197479	Protocadherin beta 11	LowTissSpecExpdInBrain
PCDHB12	PCDH-BETA12	ENSG00000120328	Protocadherin beta 12	LowTissSpecExpdInBrain
PCDHB13	PCDH-BETA13	ENSG00000187372	Protocadherin beta 13	LowTissSpecExpdInBrain
PCDHB14	PCDH-BETA14	ENSG00000120327	Protocadherin beta 14	LowTissSpecExpdInBrain
PCDHB15	PCDH-BETA15	ENSG00000113248	Protocadherin beta 15	LowTissSpecExpdInBrain
PCDHB2	PCDH-BETA2	ENSG00000112852	Protocadherin beta 2	LowTissSpecExpdInBrain
PCDHB4	PCDH-BETA4	ENSG00000081818	Protocadherin beta 4	LowTissSpecExpdInBrain
PCDHB5	"DKFZp586B0217, PCDH-BETA5"	ENSG00000113209	Protocadherin beta 5	LowTissSpecExpdInBrain
PCDHB7	PCDH-BETA7	ENSG00000113212	Protocadherin beta 7	LowTissSpecExpdInBrain
PCDHB8	"PCDH-BETA8, PCDH3I"	ENSG00000120322	Protocadherin beta 8	LowTissSpecExpdInBrain
PCDHGA2	PCDH-GAMMA-A2	ENSG00000081853	"Protocadherin gamma subfamily A, 2"	LowTissSpecExpdInBrain
PCDHGA3	PCDH-GAMMA-A3	ENSG00000254245	"Protocadherin gamma subfamily A, 3"	LowTissSpecExpdInBrain
PCDHGA4	PCDH-GAMMA-A4	ENSG00000262576	"Protocadherin gamma subfamily A, 4"	LowTissSpecExpdInBrain
PCDHGA9	PCDH-GAMMA-A9	ENSG00000261934	"Protocadherin gamma subfamily A, 9"	LowTissSpecExpdInBrain
PCDHGB2	PCDH-GAMMA-B2	ENSG00000253910	"Protocadherin gamma subfamily B, 2"	LowTissSpecExpdInBrain
PCDHGB3	PCDH-GAMMA-B3	ENSG00000262209	"Protocadherin gamma subfamily B, 3"	LowTissSpecExpdInBrain
PCDHGB4	"CDH20, FIB2, PCDH-GAMMA-B4"	ENSG00000253953	"Protocadherin gamma subfamily B, 4"	LowTissSpecExpdInBrain
PCDHGB7	"ME6, PCDH-GAMMA-B7"	ENSG00000254122	"Protocadherin gamma subfamily B, 7"	LowTissSpecExpdInBrain
PCED1A	"bA12M19.1, C20orf81, FAM113A, FLJ22376"	ENSG00000132635	PC-esterase domain containing 1A	LowTissSpecExpdInBrain
PCF11	KIAA0824	ENSG00000165494	PCF11 cleavage and polyadenylation factor subunit	LowTissSpecExpdInBrain
PCGF1	"MGC10882, NSPC1, RNF68"	ENSG00000115289	Polycomb group ring finger 1	LowTissSpecExpdInBrain
PCGF2	"MEL-18, RNF110, ZNF144"	ENSG00000277258	Polycomb group ring finger 2	LowTissSpecExpdInBrain
PCGF3	"DONG1, FLJ36550, MGC40413, RNF3, RNF3A"	ENSG00000185619	Polycomb group ring finger 3	LowTissSpecExpdInBrain
PCGF5	"MGC16202, RNF159"	ENSG00000180628	Polycomb group ring finger 5	LowTissSpecExpdInBrain
PCGF6	"MBLR, RNF134"	ENSG00000156374	Polycomb group ring finger 6	LowTissSpecExpdInBrain
PCID2	FLJ11305	ENSG00000126226	PCI domain containing 2	LowTissSpecExpdInBrain
PCIF1	"bA465L10.1, C20orf67, PPP1R121"	ENSG00000100982	PDX1 C-terminal inhibiting factor 1	LowTissSpecExpdInBrain
PCM1	PTC4	ENSG00000078674	Pericentriolar material 1	LowTissSpecExpdInBrain
PCMT1		ENSG00000120265	Protein-L-isoaspartate (D-aspartate) O-methyltransferase	LowTissSpecExpdInBrain
PCMTD1	FLJ10883	ENSG00000168300	Protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	LowTissSpecExpdInBrain
PCMTD2	"C20orf36, FLJ10883"	ENSG00000203880	Protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	LowTissSpecExpdInBrain
PCNP		ENSG00000081154	PEST proteolytic signal containing nuclear protein	LowTissSpecExpdInBrain
PCNX1	"KIAA0805, KIAA0995, PCNX, PCNXL1, pecanex"	ENSG00000100731	Pecanex homolog 1	LowTissSpecExpdInBrain
PCNX3	"FLJ22427, PCNXL3"	ENSG00000197136	Pecanex homolog 3	LowTissSpecExpdInBrain
PCNX4	"C14orf135, PCNXL4"	ENSG00000126773	Pecanex homolog 4	LowTissSpecExpdInBrain
PCOLCE	"PCPE, PCPE1"	ENSG00000106333	Procollagen C-endopeptidase enhancer	LowTissSpecExpdInBrain
PCSK7	"LPC, PC7, PC8, SPC7"	ENSG00000160613	Proprotein convertase subtilisin/kexin type 7	LowTissSpecExpdInBrain
PCYOX1	"KIAA0908, PCL1"	ENSG00000116005	Prenylcysteine oxidase 1	LowTissSpecExpdInBrain
PCYOX1L	MGC3265	ENSG00000145882	Prenylcysteine oxidase 1 like	LowTissSpecExpdInBrain
PCYT1A	"CT, CTPCT, PCYT1"	ENSG00000161217	"Phosphate cytidylyltransferase 1, choline, alpha"	LowTissSpecExpdInBrain
PDAP1	"HASPP28, PAP, PAP1"	ENSG00000106244	PDGFA associated protein 1	LowTissSpecExpdInBrain
PDCD10	"CCM3, TFAR15"	ENSG00000114209	Programmed cell death 10	LowTissSpecExpdInBrain
PDCD11	"ALG-4, KIAA0185, RRP5"	ENSG00000148843	Programmed cell death 11	LowTissSpecExpdInBrain
PDCD1LG2	"B7-DC, bA574F11.2, Btdc, CD273, PD-L2, PDL2"	ENSG00000197646	Programmed cell death 1 ligand 2	LowTissSpecExpdInBrain
PDCD2	"RP8, ZMYND7"	ENSG00000071994	Programmed cell death 2	LowTissSpecExpdInBrain
PDCD2L	MGC13096	ENSG00000126249	Programmed cell death 2 like	LowTissSpecExpdInBrain
PDCD5	"MGC9294, TFAR19"	ENSG00000105185	Programmed cell death 5	LowTissSpecExpdInBrain
PDCD6	"ALG-2, PEF1B"	ENSG00000249915	Programmed cell death 6	LowTissSpecExpdInBrain
PDCD6IP	"AIP1, Alix, Hp95"	ENSG00000170248	Programmed cell death 6 interacting protein	LowTissSpecExpdInBrain
PDCD7	"ES18, HES18"	ENSG00000090470	Programmed cell death 7	LowTissSpecExpdInBrain
PDCL	"DKFZp564M1863, PhLP"	ENSG00000136940	Phosducin like	LowTissSpecExpdInBrain
PDCL3	VIAF1	ENSG00000115539	Phosducin like 3	LowTissSpecExpdInBrain
PDE12	"2'-PDE, 3635, DKFZp667B1218"	ENSG00000174840	Phosphodiesterase 12	LowTissSpecExpdInBrain
PDE5A		ENSG00000138735	Phosphodiesterase 5A	LowTissSpecExpdInBrain
PDE6D	JBTS22	ENSG00000156973	Phosphodiesterase 6D	LowTissSpecExpdInBrain
PDE7B		ENSG00000171408	Phosphodiesterase 7B	LowTissSpecExpdInBrain
PDE8A	HsT19550	ENSG00000073417	Phosphodiesterase 8A	LowTissSpecExpdInBrain
PDE9A		ENSG00000160191	Phosphodiesterase 9A	LowTissSpecExpdInBrain
PDGFB	"SIS, SSV"	ENSG00000100311	Platelet derived growth factor subunit B	LowTissSpecExpdInBrain
PDGFC	"fallotein, SCDGF"	ENSG00000145431	Platelet derived growth factor C	LowTissSpecExpdInBrain
PDGFRB	"CD140b, JTK12, PDGFR, PDGFR1"	ENSG00000113721	Platelet derived growth factor receptor beta	LowTissSpecExpdInBrain
PDHB	PDHE1B	ENSG00000168291	Pyruvate dehydrogenase E1 beta subunit	LowTissSpecExpdInBrain
PDIA3	"ERp57, ERp60, ERp61, GRP57, GRP58, HsT17083, P58, PI-PLC"	ENSG00000167004	Protein disulfide isomerase family A member 3	LowTissSpecExpdInBrain
PDIA6	"ERp5, P5, TXNDC7"	ENSG00000143870	Protein disulfide isomerase family A member 6	LowTissSpecExpdInBrain
PDIK1L	CLIK1L	ENSG00000175087	PDLIM1 interacting kinase 1 like	LowTissSpecExpdInBrain
PDK1		ENSG00000152256	Pyruvate dehydrogenase kinase 1	LowTissSpecExpdInBrain
PDK3		ENSG00000067992	Pyruvate dehydrogenase kinase 3	LowTissSpecExpdInBrain
